borrower_id,age,income,home_ownership,employment_length,loan_purpose,loan_amount,debt_to_income,credit_history_length,historical_default,default
1,22,59000,RENT,50,PERSONAL,35000,0.59,3,Y,1
2,21,9600,OWN,5,EDUCATION,1000,0.1,2,N,0
3,25,9600,MORTGAGE,1,MEDICAL,5500,0.57,3,N,1
4,23,65500,RENT,4,MEDICAL,35000,0.53,2,N,1
5,24,54400,RENT,8,MEDICAL,35000,0.64,4,Y,1
6,21,9900,OWN,2,VENTURE,2500,0.25,2,N,1
7,26,77100,RENT,8,EDUCATION,35000,0.45,3,N,1
8,24,78956,RENT,5,MEDICAL,35000,0.44,4,N,1
9,24,83000,RENT,8,PERSONAL,35000,0.42,2,N,1
10,21,10000,OWN,6,VENTURE,1600,0.16,3,N,1
11,22,85000,RENT,6,VENTURE,35000,0.41,4,N,1
12,21,10000,OWN,2,HOMEIMPROVEMENT,4500,0.45,2,N,1
13,23,95000,RENT,2,VENTURE,35000,0.37,2,N,1
14,26,108160,RENT,4,EDUCATION,35000,0.32,4,N,1
15,23,115000,RENT,2,EDUCATION,35000,0.3,4,N,0
16,23,500000,MORTGAGE,7,DEBTCONSOLIDATION,30000,0.06,3,N,0
17,23,120000,RENT,0,EDUCATION,35000,0.29,4,N,0
18,23,92111,RENT,7,MEDICAL,35000,0.38,4,N,1
19,23,113000,RENT,8,DEBTCONSOLIDATION,35000,0.31,4,N,1
20,24,10800,MORTGAGE,8,EDUCATION,1750,0.16,2,N,1
21,25,162500,RENT,2,VENTURE,35000,0.22,4,N,0
22,25,137000,RENT,9,PERSONAL,34800,0.25,2,Y,0
23,22,65000,RENT,4,EDUCATION,34000,0.52,4,N,1
24,24,10980,OWN,0,PERSONAL,1500,0.14,3,N,0
25,22,80000,RENT,3,PERSONAL,33950,0.42,4,Y,1
26,24,67746,RENT,8,HOMEIMPROVEMENT,33000,0.49,3,N,1
27,21,11000,MORTGAGE,3,VENTURE,4575,0.42,3,Y,1
28,23,11000,OWN,0,PERSONAL,1400,0.13,3,N,0
